px,py,pz,nx,ny,nz,weight
0.130873,-0.984478,2.08902,0.0281369,0.0386329,-0.998857,9.60878e-06
0.625659,0.827077,0.800951,0.556557,0.65099,0.516194,4.06415e-05
0.111528,-0.605063,2.93182,-0.977967,0.208762,0,5.98081e-06
0.4389,0.142824,2.21068,0.999483,0.0321525,0,1.49738e-05
-0.823193,0.156923,0.573198,0.20198,0.96739,-0.15284,0.000300874
0.24171,0.446745,1.63331,0.410005,0.840916,-0.353209,0.000989131
0.281055,0.824246,0.217316,-0.433121,0.780493,-0.450817,0.00179621
0.759394,-0.0442171,2.73047,0.271115,0.340603,0.90027,0.00122369
-0.607352,0.929429,2.00081,-0.269768,0.600695,-0.75259,3.69154e-05
0.929462,-0.0685098,2.26359,-0.400526,0.834409,-0.378603,0.000203826
-0.753691,-0.360844,2.17656,-0.280026,0.745771,-0.604492,0.000226739
-0.101999,0.683428,2.06042,-0.643093,0.765789,0,1.16913e-05
-0.615326,0.919027,1.09853,0.65216,0.216644,0.726465,0.000507112
-0.588498,-0.24424,0.203971,-0.108461,0.365368,0.924523,0.000239349
0.254282,0.445315,1.6445,0.410005,0.840916,-0.353209,0.000992921
-0.955488,-0.673033,2.61401,-0.789996,0.609477,0.0666668,0.000611295
0.892259,0.394273,2.50682,-0.800557,0.582056,0.142546,0.00140374
0.109915,-0.612622,2.91716,-0.977966,0.208762,0,6.02492e-06
-0.254936,-0.667782,1.15026,0.11434,0.972471,-0.203043,0.000643664
-0.885087,-0.467752,1.74511,-0.462028,0.886865,0,4.33173e-06
0.492483,0.661093,0.452778,-0.488252,0.530316,0.693091,0.00347062
0.0583101,-0.526738,2.31943,-0.799112,0.391115,0.456562,0.00147012
0.411868,-0.390409,2.34754,0.271204,0.36108,0.892228,9.42609e-06
0.362781,-0.279086,1.03867,0.177096,0.0808802,0.980865,1.00878e-05
0.37164,-0.392886,2.12888,0.710887,0.620072,-0.331889,0.00134914
0.626111,0.0269695,2.97361,0.097144,0.99527,0,4.73209e-07
0.892049,0.412099,2.43168,0.588061,0.808817,0,4.29546e-06
0.585211,0.157523,0.863215,-0.641281,0.767306,0,2.34522e-05
-0.753595,-0.061652,1.21342,-0.600889,0.765619,-0.229695,0.000616167
0.914103,-0.765771,2.19485,0.985516,0.169582,0,1.53336e-05
0.756093,-0.048223,2.73298,0.271115,0.340603,0.90027,0.00121927
0.45757,0.614742,2.43927,0.41286,0.910795,0,1.27312e-06
0.0658462,-0.57057,2.37016,-0.799112,0.391115,0.456562,0.0014231
0.389529,-0.192779,0.355946,-0.124871,0.0972015,-0.9874,1.85348e-06
-0.946248,0.66722,2.78305,-0.24658,0.367227,0.896852,6.18188e-06
0.600101,-0.539806,0.148123,-0.346994,0.794853,-0.4978,0.000374083
-0.897754,-0.0443526,1.30624,0.119919,0.984351,0.12912,9.88338e-05
0.955307,0.40944,1.91242,-0.453942,0.443048,-0.773075,8.15554e-06
0.437115,0.0875578,2.46756,-0.199371,0.132559,-0.970917,0.000928283
0.864869,0.6254,0.487326,0.0374134,0.059181,-0.997546,1.35938e-05
0.438572,0.153034,2.2068,0.999483,0.0321525,0,1.50038e-05
0.893079,0.393568,2.51431,-0.800557,0.582056,0.142546,0.00139558
0.826377,-0.0425085,2.60524,0.164708,0.939486,-0.300395,0.000726877
0.562141,0.0180173,2.74566,0.395093,0.389683,-0.831895,1.22641e-05
1.01496,0.653416,2.37368,0.548821,0.318736,0.772789,8.29295e-06
-0.262948,-0.122362,2.88857,0.843236,0.537544,0,7.4979e-06
0.576044,-0.568521,0.119042,-0.346994,0.794853,-0.4978,0.00035764
0.380121,0.461794,0.475959,0.512678,0.0489835,0.857183,0.000912681
0.170691,0.695016,0.416062,-0.777352,0.0696905,0.625193,0.00293744
-0.610423,0.936271,2.00738,-0.269768,0.600695,-0.75259,3.66886e-05
-0.911516,0.45188,1.89305,0.0488664,0.0187389,0.99863,5.97689e-06
-0.700633,0.996356,2.66617,-0.17391,0.984762,0,4.12025e-06
0.242439,0.446679,1.634,0.410005,0.840916,-0.353209,0.000989325
-0.725734,-0.176335,0.0416478,0.982352,0.18704,0,1.98258e-05
0.0604034,-0.524989,2.32159,-0.799112,0.391115,0.456562,0.00147042
1.01614,0.65142,2.37367,0.548821,0.318736,0.772789,8.30246e-06
0.0450942,-0.785013,2.97935,0.00670837,0.740222,0.672329,4.91399e-06
0.686027,-0.14735,2.95867,0.994393,0.0504279,0.0929523,0.000721989
-0.254841,-0.667318,1.15253,0.11434,0.972471,-0.203043,0.000643214
-0.0269628,0.0221746,2.34409,0.893429,0.449205,0,1.10394e-05
-0.743182,-0.0681768,1.1686,0.786652,0.617396,0,1.2971e-05
-0.183705,0.867387,1.7255,-0.279419,0.488319,0.826722,1.49891e-05
-0.0330052,0.0341925,2.36401,0.893429,0.449205,0,1.08618e-05
0.386068,-0.371032,2.34754,0.271204,0.36108,0.892228,9.29364e-06
0.62723,0.823258,0.804073,0.556557,0.65099,0.516194,4.07374e-05
-0.606118,0.926806,1.99828,-0.269768,0.600695,-0.75259,3.70044e-05
-0.908066,0.442881,1.89305,0.0488664,0.0187389,0.99863,5.99606e-06
0.945435,0.588704,1.45322,-0.817408,0.576059,0,3.08089e-05
-0.86968,-0.459725,1.70802,-0.462028,0.886865,0,4.44223e-06
-0.835972,-0.00561292,2.24673,0.401356,0.90181,-0.160162,0.000523696
0.913133,-0.576761,1.5716,0.49578,0.517811,0.69719,1.2394e-06
0.463239,0.639851,2.90727,0.915229,0.402935,0,6.65392e-06
-0.848864,-0.528207,1.73766,0.799323,0.416421,0.433216,0.000592052
-0.963408,0.655696,2.78305,-0.24658,0.367227,0.896852,6.1351e-06
